,logpop,loginv,pop,family.name,area,inv,language
2871,4.127134385,3.218875825,61,Pama-Nyungan,Australia,24,Mangala
2872,5.739792912,3.091042453,310,Pama-Nyungan,Australia,21,Nyangumarta
2885,2.397895273,3.33220451,10,Pama-Nyungan,Australia,27,Kurrama
2887,2.944438979,3.17805383,18,Pama-Nyungan,Australia,23,Ngarla
2888,3.295836866,3.17805383,26,Pama-Nyungan,Australia,23,Ngarluma
2890,3.583518938,3.17805383,35,Pama-Nyungan,Australia,23,Nyamal
2891,1.386294361,3.258096538,3,Pama-Nyungan,Australia,25,Nyiyaparli
2894,5.739792912,3.258096538,310,Pama-Nyungan,Australia,25,Yindjibarndi
2899,5.888877958,3.17805383,360,Pama-Nyungan,Australia,23,Jaru
2901,3.891820298,3.17805383,48,Pama-Nyungan,Australia,23,Mudburra
2902,2.708050201,3.218875825,14,Pama-Nyungan,Australia,24,Ngardi
2904,6.23636959,3.17805383,510,Pama-Nyungan,Australia,23,Walmajarri
2905,3.871201011,3.36729583,47,Pama-Nyungan,Australia,28,Warlmanpa
2906,7.828436359,3.218875825,2510,Pama-Nyungan,Australia,24,Warlpiri
2936,5.017279837,2.995732274,150,NA,NA,19,Yidiny
2947,2.564949357,3.135494216,12,Pama-Nyungan,Australia,22,Umpila
2969,1.791759469,3.36729583,5,NA,NA,28,Olkol
2973,6.908754779,3.33220451,1000,NA,NA,27,Mbara
2977,4.709530201,3.33220451,110,Pama-Nyungan,Australia,27,Adnyamathanha
2980,1.098612289,3.17805383,2,NA,NA,23,Wirangu
2996,4.795790546,3.218875825,120,Pama-Nyungan,Australia,24,Yanyuwa
2997,5.739792912,3.36729583,310,Pama-Nyungan,Australia,28,Warumungu
3005,6.089044875,3.17805383,440,Pama-Nyungan,Australia,23,Kukatja
3008,6.908754779,3.17805383,1000,Pama-Nyungan,Australia,23,Ngaanyatjarra
3010,8.058643712,3.17805383,3160,Pama-Nyungan,Australia,23,Pitjantjatjara
3011,6.329720906,3.17805383,560,Pama-Nyungan,Australia,23,Yankunytjatjara
3013,7.099201744,3.218875825,1210,Pama-Nyungan,Papunesia,24,Kala Lagaw Ya
3018,7.155396302,3.465735903,1280,Pama-Nyungan,Australia,31,Gupapuyngu
3020,7.923348212,3.465735903,2760,Pama-Nyungan,Australia,31,Djambarrpuyngu
3021,5.484796933,3.465735903,240,Pama-Nyungan,Australia,31,Gumatj
3022,5.351858133,3.258096538,210,Pama-Nyungan,Australia,25,Djinang
3023,3.828641396,3.258096538,45,Pama-Nyungan,Australia,25,Djinba
3030,2.397895273,2.944438979,10,NA,NA,18,Darkinyung
3044,1.791759469,2.944438979,5,Pama-Nyungan,Australia,18,Ngarigu
3048,3.17805383,3.17805383,23,Tangkic,Australia,23,Kayardild
3049,4.007333185,3.258096538,54,Tangkic,Australia,25,Lardil
3051,7.46221494,3.135494216,1740,,Australia,22,Tiwi
3053,4.060443011,3.135494216,57,Worrorran,Australia,22,Ngarinyin
3055,0.693147181,3.36729583,1,Worrorran,Australia,28,Kwini
3056,3.433987204,3.36729583,30,Worrorran,Australia,28,Wunambal
3059,3.044522438,3.258096538,20,Worrorran,Australia,25,Worrorra
3061,4.442651256,3.135494216,84,Yangmanic,Australia,22,Wardaman
