"duration","f0slope","f0peak","intensity","f1","stress","f0mean"
0.102,"-467.391304347826","122","74","724","n",100
0.215,"-126.436781609195","127","79","415","y",120
0.237,"-164.319248826291","119","78","372","n",105
0.279,"-127.490039840637","125","77","370","n",106
0.25,"-81.6326530612246","110","73","298","y",108
0.264,"69.7674418604651","142","84","420","y",137
0.22,"93.7499999999999","130","78","479","n",126
0.21,"-101.604278074866","125","79","434","n",114
0.173,"-122.448979591837","103","72","556","y",99
0.118,"-339.622641509434","113","68","273","n",94
0.079,"-338.028169014084","119","73","386","n",104
0.119,"-110","131","76","346","y",123
0.11,"-191.919191919192","110","73","525","n",100
0.055,"-354.166666666667","118","72","310","n",110
0.09,"-153.846153846154","124","78","310","y",122
0.058,"173.076923076923","121","76","518","n",115
0.256,"-161.290322580645","128","76","348","n",115
0.117,"-180.952380952381","103","70","752","n",93
0.051,"-478.260869565217","119","72","293","n",111
0.064,"266.666666666666","119","72","288","y",118
0.078,"-131.147540983606","117","73","367","n",113
0.092,"-342.465753424657","129","75","490","n",113
0.091,"195.121951219512","149","79","339","y",146
0.086,"-315.068493150685","127","75","433","n",114
0.04,"-1136.36363636364","117","69","325","n",109
0.096,"-279.069767441861","116","71","595","n",102
0.121,"-312.5","126","77","351","n",119
0.071,"-428.571428571429","125","76","284","n",109
0.056,"-634.146341463415","143","49","321","y",125
0.073,"-511.111111111112","109","42","519","n",96
0.151,"-166.666666666667","87","40","639","n",79
0.074,"-327.272727272727","124","47","257","y",118
0.06,"92.5925925925925","116","41","813","n",114
0.119,"-215.686274509804","114","48","689","y",110
0.095,"-189.873417721519","96","38","928","n",87
0.099,"-550","158","48","459","y",147
0.055,"-551.020408163265","121","41","602","n",105
0.103,"126.984126984127","92","38","872","n",88
0.12,"-222.222222222222","131","46","703","n",114
0.12,"-333.333333333334","113","41","888","n",110
0.037,"-166.666666666667","116","48","456","y",115
0.11,"-157.303370786517","146","52","400","y",141
0.103,"-288.888888888889","136","49","314","n",129
0.079,"1000","119","45","372","y",112
0.109,"-275.510204081632","140","50","303","n",128
0.239,"-97.2222222222222","136","50","385","y",121
0.112,"-157.303370786517","139","52","359","n",129
0.091,"250","127","49","649","n",125
0.09,"-317.073170731707","126","45","472","y",109
0.173,"-74.468085106383","101","43","551","n",98
0.06,"-333.333333333333","88","39","521","y",85
0.079,"-387.755102040816","120","43","535","n",111
0.094,"-190.47619047619","134","48","424","y",124
0.074,"-367.34693877551","120","46","398","n",113
0.063,"-340.909090909091","113","43","377","n",107
0.154,"-301.587301587302","141","50","434","n",117
0.048,"-520","118","44","417","n",110
0.066,"355.932203389831","167","48","332","y",158
0.147,"-168.067226890756","134","49","456","n",127
0.121,"-212.121212121212","159","52","379","y",155
0.109,"-566.666666666666","135","44","442","n",125
0.241,"36.3636363636364","144","45","480","y",141
0.12,"-62.4999999999999","121","44","551","n",119
0.088,"615.38461538462","113","42","803","n",109
0.053,"-1378.37837837838","217","44","323","n",183
0.107,"-164.705882352941","132","44","564","n",123
0.098,"-117.647058823529","134","48","481","y",129
0.11,"-358.024691358024","106","40","744","n",92
0.113,"272.727272727272","130","37","394","n",127
0.241,"-101.694915254237","141","47","482","y",137
0.16,"-67.1641791044776","131","45","573","n",127
0.142,"-387.096774193548","135","48","379","n",127
0.12,"749.999999999999","163","45","357","y",149
0.198,"-146.853146853147","130","51","513","y",116
0.192,"213.333333333333","112","40","628","n",107
0.153,"250","137","50","600","y",136
0.12,"-797.752808988764","146","48","490","n",145
0.075,"-444.444444444444","146","41","606","n",132
0.088,"-258.620689655172","140","48","370","y",132
0.066,"-235.294117647059","120","46","329","n",115
0.174,"-154.639175257732","132","50","588","y",127
0.123,"-266.666666666667","119","44","420","n",112
0.264,"-88.0503144654088","129","50","718","y",122
0.052,"-743.589743589745","129","43","390","n",114
0.058,"280","110","40","340","n",108
0.061,"-181.818181818181","91","36","840","n",86
0.18,"-198.757763975155","151","50","499","y",132
0.039,"-228.571428571429","124","49","597","n",122
0.087,"-407.407407407409","119","47","585","y",115
0.132,"-156.521739130435","121","46","711","n",111
0.113,"-384.615384615385","129","47","846","y",118
0.158,"-192","132","45","663","n",121
0.126,"-58.8235294117647","123","40","388","n",121
0.221,"-203.821656050955","145","50","665","n",123
0.135,"-231.884057971015","135","51","521","y",127
0.159,"-153.846153846154","131","49","631","y",115
0.184,"280","137","44","599","y",123
0.232,"-131.147540983607","148","48","383","y",138
0.116,"-263.888888888889","126","41","503","n",116
0.129,"-88.495575221239","108","43","566","n",103
0.212,"400","91","34","858","n",88
0.068,"-311.475409836066","131","46","508","n",122
0.075,"333.333333333333","146","46","526","y",144
0.099,"-146.067415730337","131","48","345","n",125
0.116,"-146.341463414634","116","44","501","n",110
0.123,"-150","142","51","386","y",134
0.053,"-333.333333333335","124","48","456","n",116
0.109,"-234.69387755102","130","41","472","n",113
0.235,"-62.5","133","47","482","n",129
0.199,"-128.205128205128","145","47","576","y",142
0.173,"-64.1025641025641","132","47","416","n",127
0.198,"-13.6054421768707","127","47","443","n",126
0.107,"-168.421052631579","145","47","594","y",134
0.081,"-231.884057971015","129","47","433","n",122
0.147,"-268.907563025211","140","48","455","n",123
0.141,"-187.5","146","51","383","y",133
0.121,"-40.5405405405405","113","44","613","n",111
0.042,"-90.909090909091","111","45","469","y",110
0.105,"-152.777777777778","117","48","458","n",112
0.078,"444.444444444444","107","39","621","n",103
0.201,"-232.954545454545","147","53","594","n",128
0.06,"-382.978723404255","133","51","591","y",123
0.045,"-222.222222222222","111","47","455","n",108
0.12,"-290","143","48","600","n",122
0.067,"-322.033898305085","116","48","424","n",109
0.079,"-333.333333333333","119","49","349","y",112
0.076,"-446.428571428571","108","40","762","n",94
0.075,"-59.7014925373134","114","47","529","n",113
0.076,"-117.647058823529","119","47","507","y",114
0.152,"-166.666666666667","119","48","562","y",113
0.067,"-327.868852459017","116","45","368","n",105
0.09,"-211.538461538462","120","44","561","n",112
0.105,"0","101","43","642","n",101
0.072,"400","119","40","967","y",113
